,ORIG_FID,OBJECTID *,NAME,BOROUGH,Long,Lat,Length,Width,Diameter,Radius
163,163,164,Kenton East,Harrow,-0.295119,51.590397,2104.255237,988.959312,2325.065724,1163
164,164,165,Queensbury,Harrow,-0.296364,51.598219,2059.469102,1581.515369,2596.65243,1298
165,165,166,Edgware,Harrow,-0.279613,51.603144,1631.241331,1115.9845,1976.453815,988
166,166,167,Northwick Park,Brent,-0.317961,51.569028,2464.090372,1839.447847,3074.948738,1537
167,167,168,Wembley Central,Brent,-0.29726,51.549982,1773.109388,1714.423911,2466.407559,1233
168,168,169,Preston,Brent,-0.297084,51.566154,2780.678319,1546.356591,3181.727616,1591
169,169,170,Stonebridge,Brent,-0.266874,51.542004,3588.097658,1968.476916,4092.596507,2046
170,170,171,Welsh Harp,Brent,-0.257807,51.566569,2807.728377,1557.063639,3210.574063,1605
171,171,172,Barnhill,Brent,-0.279509,51.571133,3009.453786,1690.094289,3451.554837,1726
172,172,173,Fryent,Brent,-0.265113,51.582058,2293.71371,1715.665275,2864.372518,1432
173,173,174,Sudbury,Brent,-0.314936,51.556207,2381.578407,1684.341974,2917.00593,1459
174,174,175,Alperton,Brent,-0.294514,51.540475,2274.265173,2015.354721,3038.739332,1519
175,175,176,Kensal Green,Brent,-0.236782,51.534979,1856.436451,956.81543,2088.504744,1044
176,176,177,Harlesden,Brent,-0.250733,51.540937,1781.093546,985.31945,2035.472583,1018
177,177,178,Willesden Green,Brent,-0.23496,51.545523,1769.18762,1555.20854,2355.56754,1178
178,178,179,Queens Park,Brent,-0.213785,51.535166,1826.376755,1230.326715,2202.125309,1101
179,179,180,Brondesbury Park,Brent,-0.218886,51.542882,2179.694854,1311.972851,2544.079877,1272
180,180,181,Kilburn,Brent,-0.198666,51.536893,1834.69429,891.836873,2039.969643,1020
181,181,182,Tokyngton,Brent,-0.278461,51.553743,2096.505082,1876.274114,2813.492156,1407
182,182,183,Kenton,Brent,-0.299921,51.581338,2587.671319,1520.094321,3001.12139,1501
183,183,184,Dudden Hill,Brent,-0.241583,51.554218,2154.800383,2117.953271,3021.405426,1511
184,184,185,Dollis Hill,Brent,-0.23656,51.564342,1933.455007,1596.638275,2507.489191,1254
185,185,186,Mapesbury,Brent,-0.21873,51.553813,2102.417943,1010.356405,2332.591107,1166
186,186,187,Queensbury,Brent,-0.272978,51.592336,2001.993996,1407.265773,2447.116041,1224
187,187,188,Underhill,Barnet,-0.218745,51.644214,5773.577228,1663.098456,6008.335084,3004
188,188,189,High Barnet,Barnet,-0.212534,51.654924,5780.860047,2748.905292,6401.157957,3201
189,189,190,West Hendon,Barnet,-0.235358,51.578382,2995.518886,1920.460508,3558.272328,1779
190,190,191,Golders Green,Barnet,-0.212706,51.574815,3241.026907,1605.874682,3617.055281,1809
191,191,192,Colindale,Barnet,-0.245579,51.594073,2782.593085,1709.21828,3265.616543,1633
192,192,193,Childs Hill,Barnet,-0.202649,51.565084,2491.115292,1817.450056,3083.630994,1542
193,193,194,Garden Suburb,Barnet,-0.183306,51.580972,2655.879561,2614.353245,3726.733037,1863
194,194,195,Finchley Church End,Barnet,-0.201173,51.59628,2462.503624,1887.081786,3102.418696,1551
195,195,196,East Finchley,Barnet,-0.168936,51.595052,2371.987317,1923.310663,3053.759607,1527
196,196,197,Edgware,Barnet,-0.281735,51.626374,3905.440681,2380.33988,4573.673016,2287
197,197,198,Mill Hill,Barnet,-0.224663,51.613851,3909.139023,3544.153941,5276.58934,2638
198,198,199,Hale,Barnet,-0.256786,51.626111,4051.427208,2531.120423,4777.094621,2389
199,199,200,Totteridge,Barnet,-0.201179,51.629865,4760.498267,3181.092742,5725.530088,2863
200,200,201,Oakleigh,Barnet,-0.17069,51.634315,3669.292311,1501.642781,3964.673644,1982
201,201,202,Woodhouse,Barnet,-0.171772,51.610921,2626.356346,1754.601292,3158.53975,1579
202,202,203,Coppetts,Barnet,-0.151847,51.611191,2671.5466,1441.430955,3035.602812,1518
203,203,204,Brunswick Park,Barnet,-0.14488,51.628592,2510.095264,1934.118818,3168.815841,1584
204,204,205,East Barnet,Barnet,-0.161028,51.646735,3320.699064,1597.850663,3685.128087,1843
205,205,206,Burnt Oak,Barnet,-0.259675,51.603533,1947.951329,1574.620707,2504.784372,1252
206,206,207,Hendon,Barnet,-0.224379,51.591133,2853.028273,1561.440282,3252.363153,1626
207,207,208,West Finchley,Barnet,-0.187375,51.607154,2040.977486,1861.100497,2762.115884,1381
208,208,209,Streatham South,Lambeth,-0.130382,51.41738,2412.313627,1301.872692,2741.191263,1371
209,209,210,St. Leonard's,Lambeth,-0.133502,51.429829,2461.083104,1050.161823,2675.774635,1338
210,210,211,Streatham Wells,Lambeth,-0.121877,51.429979,1730.192721,1187.88299,2098.721718,1049
211,211,212,Knight's Hill,Lambeth,-0.107899,51.429287,1888.244912,1133.658372,2202.419159,1101
212,212,213,Thornton,Lambeth,-0.136736,51.44703,1539.396887,1092.924279,1887.91585,944
213,213,214,Streatham Hill,Lambeth,-0.1222,51.440759,2030.781097,942.883091,2238.995397,1119
214,214,215,Clapham Common,Lambeth,-0.139682,51.456287,1406.995016,1384.3199,1973.822829,987
215,215,216,Brixton Hill,Lambeth,-0.123891,51.452839,1959.758835,974.826017,2188.821705,1094
216,216,217,Tulse Hill,Lambeth,-0.115293,51.44961,2361.77662,793.139347,2491.396963,1246
217,217,218,Coldharbour,Lambeth,-0.108506,51.463723,1715.894935,915.967015,1945.068379,973
218,218,219,Ferndale,Lambeth,-0.121627,51.463837,1921.069451,888.115445,2116.425496,1058
219,219,220,Larkhall,Lambeth,-0.128825,51.468797,1557.448399,1029.3316,1866.86075,933
220,220,221,Oval,Lambeth,-0.118214,51.482614,1849.826331,1172.57297,2190.156347,1095
221,221,222,Vassall,Lambeth,-0.109136,51.474858,1344.494922,1247.507263,1834.10495,917
222,222,223,Gipsy Hill,Lambeth,-0.092004,51.427422,2150.686239,1067.799942,2401.176381,1201
223,223,224,Thurlow Park,Lambeth,-0.100689,51.441207,1751.759997,1151.90381,2096.555622,1048
224,224,225,Herne Hill,Lambeth,-0.101311,51.45893,3153.312871,1101.315704,3340.101547,1670
225,225,226,Bishop's,Lambeth,-0.114727,51.501519,1916.423256,1101.560416,2210.455484,1105
226,226,227,Clapham Town,Lambeth,-0.141683,51.46522,1430.636336,1233.910807,1889.247524,945
227,227,228,Stockwell,Lambeth,-0.124396,51.47494,1252.515102,1207.602614,1739.855785,870
228,228,229,Prince's,Lambeth,-0.114857,51.490178,1407.541335,1280.099016,1902.584059,951
